Title,Content,Combined_Text,Cluster_Labels,topic,sentiment_score,sentiment_category
Eight dead in Japan earthquake as search for survivors continues,thousand people spent night evacuation centre magnitude earthquake hit sea japan coast,Eight dead in Japan earthquake as search for survivors continues thousand people spent night evacuation centre magnitude earthquake hit sea japan coast,0,Global Conflicts,-0.6486,Negative
Watch: How earthquake shook Japan on New Year's Day,dozen building collapse several town trapping unknown number people,Watch: How earthquake shook Japan on New Year's Day dozen building collapse several town trapping unknown number people,0,Global Conflicts,-0.5106,Negative
Australian jailed in Iraq reaches grim milestone,robert pether detained day family call hostage situation,Australian jailed in Iraq reaches grim milestone robert pether detained day family call hostage situation,0,Global Conflicts,-0.8555,Negative
Nobel laureate Muhammad Yunus sentenced to jail,supporter bangladeshi economist say case politically motivated,Nobel laureate Muhammad Yunus sentenced to jail supporter bangladeshi economist say case politically motivated,2,Politics,0.6124,Positive
Israel Supreme Court strikes down judicial reforms,controversial plan triggered nationwide protest last year benjamin netanyahu government,Israel Supreme Court strikes down judicial reforms controversial plan triggered nationwide protest last year benjamin netanyahu government,2,Politics,-0.1779,Negative
Australia's David Warner retires from ODI cricket,veteran player aged made announcement lead final test match,Australia's David Warner retires from ODI cricket veteran player aged made announcement lead final test match,4,Entertainment,0.0,Neutral
Putin vows to 'intensify' attacks against Ukraine,russian leader comment come day aerial bombardment side conflict,Putin vows to 'intensify' attacks against Ukraine russian leader comment come day aerial bombardment side conflict,0,Global Conflicts,-0.6369,Negative
Ethiopia signs agreement paving way to sea access,prime minister landlocked country said sea access existential question,Ethiopia signs agreement paving way to sea access prime minister landlocked country said sea access existential question,2,Politics,0.4939,Positive
India launches space mission to study black holes,india become second country launch mission u,India launches space mission to study black holes india become second country launch mission u,4,Entertainment,0.0,Neutral
Xi vows 'reunification' ahead of Taiwan polls,chinese leader new year eve message come week ahead taiwan crucial general election,Xi vows 'reunification' ahead of Taiwan polls chinese leader new year eve message come week ahead taiwan crucial general election,2,Politics,0.0,Neutral
Why Bangladesh's election has become a one-woman show,bangladesh holding general election january sheikh hasina hold power look unshakeable,Why Bangladesh's election has become a one-woman show bangladesh holding general election january sheikh hasina hold power look unshakeable,2,Politics,0.0,Neutral
"I'm so blessed a year after accident, says Renner",marvel star reflects recovery run snow plough last new year day,"I'm so blessed a year after accident, says Renner marvel star reflects recovery run snow plough last new year day",4,Entertainment,0.5984,Positive
Israel says war expected to continue throughout 2024,new year message israel military say expects fighting gaza rest year,Israel says war expected to continue throughout 2024 new year message israel military say expects fighting gaza rest year,0,Global Conflicts,-0.7506,Negative
Mother in UK court after children's deaths in US,kimberlee singler face extradition u charged murder attempted murder,Mother in UK court after children's deaths in US kimberlee singler face extradition u charged murder attempted murder,2,Politics,-0.9042,Negative
BBC World News TV,latest global news sport weather documentary,BBC World News TV latest global news sport weather documentary,4,Entertainment,0.0,Neutral
BBC World Service Radio,story around world,BBC World Service Radio story around world,4,Entertainment,0.0,Neutral
Alarm in Kanazawa as city rocked by earthquake,japan hit series earthquake prompting evacuation order tsunami warning,Alarm in Kanazawa as city rocked by earthquake japan hit series earthquake prompting evacuation order tsunami warning,0,Global Conflicts,-0.5859,Negative
"School inspection system needs more empathy, says new boss",sir martyn oliver say ofsted must listen criticism suicide head teacher ruth perry,"School inspection system needs more empathy, says new boss sir martyn oliver say ofsted must listen criticism suicide head teacher ruth perry",2,Politics,-0.8126,Negative
Teen killed in New Year's Eve stabbing named,harry pitman attacked london primrose hill crowd gathered watch firework,Teen killed in New Year's Eve stabbing named harry pitman attacked london primrose hill crowd gathered watch firework,1,Cultural,-0.8176,Negative
NHS chief warns of tough new year as fresh strike looms,planned six day junior doctor strike big impact routine care health chief say,NHS chief warns of tough new year as fresh strike looms planned six day junior doctor strike big impact routine care health chief say,2,Politics,0.25,Positive
Colossal sea monster skull goes on public display,member public get chance see long pliosaur fossil museum dorset,Colossal sea monster skull goes on public display member public get chance see long pliosaur fossil museum dorset,4,Entertainment,0.25,Positive
Mother arrested over children’s deaths in US appears in UK court,kimberlee singler face extradition u charged murder attempted murder,Mother arrested over children’s deaths in US appears in UK court kimberlee singler face extradition u charged murder attempted murder,2,Politics,-0.936,Negative
UK says it will repel Houthi Red Sea attacks,defence secretary say british force willing take direct action protect key shipping lane,UK says it will repel Houthi Red Sea attacks defence secretary say british force willing take direct action protect key shipping lane,2,Politics,0.0258,Positive
Teenager killed in three-car collision,year old passenger killed three people injured crash new year day,Teenager killed in three-car collision year old passenger killed three people injured crash new year day,0,Global Conflicts,-0.9509,Negative
Microsoft boss changes tune after criticism of UK,brad smith said uk bad business takeover activision initially blocked,Microsoft boss changes tune after criticism of UK brad smith said uk bad business takeover activision initially blocked,4,Entertainment,-0.8176,Negative
Argentina pulls out of plans to join Brics bloc,due day join group seen counterweight western led world,Argentina pulls out of plans to join Brics bloc due day join group seen counterweight western led world,2,Politics,0.5267,Positive
L'Oréal heiress first woman to amass $100bn fortune,french beauty empire track best stock market performance decade,L'Oréal heiress first woman to amass $100bn fortune french beauty empire track best stock market performance decade,4,Entertainment,0.8402,Positive
Google settles lawsuit for 'private mode' tracking,large technology firm faced increased scrutiny practice u beyond,Google settles lawsuit for 'private mode' tracking large technology firm faced increased scrutiny practice u beyond,3,Business,0.0516,Positive
Boeing urges 737 Max checks for possible loose bolt,airplane maker urging airline inspect rudder control system plane,Boeing urges 737 Max checks for possible loose bolt airplane maker urging airline inspect rudder control system plane,3,Business,-0.3182,Negative
Cash withdrawals hit record high at Post Office,withdrawn friday christmas according post office,Cash withdrawals hit record high at Post Office withdrawn friday christmas according post office,0,Global Conflicts,0.0,Neutral
The year the Australian Dream died,land fair go become one least affordable place earth find home,The year the Australian Dream died land fair go become one least affordable place earth find home,4,Entertainment,-0.0772,Negative
Clueless on computers: The teens aiming to reboot,many young nigerian fail university entrance exam lack basic tech skill,Clueless on computers: The teens aiming to reboot many young nigerian fail university entrance exam lack basic tech skill,4,Entertainment,-0.8074,Negative
Congo president declared winner of chaotic election,official say f lix tshisekedi win landslide vote opposition call rerun,Congo president declared winner of chaotic election official say f lix tshisekedi win landslide vote opposition call rerun,2,Politics,0.6597,Positive
Félix Tshisekedi: DR Congo's re-elected president,felix tshisekedi came power vowing made dr congo germany africa,Félix Tshisekedi: DR Congo's re-elected president felix tshisekedi came power vowing made dr congo germany africa,2,Politics,0.0,Neutral
Ugandan athlete stabbed to death in Kenya - reports,benjamin kiplagat reached semi final london olympics steeplechase,Ugandan athlete stabbed to death in Kenya - reports benjamin kiplagat reached semi final london olympics steeplechase,4,Entertainment,-0.7506,Negative
Kenya's Chebet breaks women's world 5km record,kenya beatrice chebet break woman world km record cursa dels nassos road race barcelona,Kenya's Chebet breaks women's world 5km record kenya beatrice chebet break woman world km record cursa dels nassos road race barcelona,4,Entertainment,0.0,Neutral
Double-edged sword of overturning Sahara smuggling ban,niger ending seven year ban migrant trafficking lead death,Double-edged sword of overturning Sahara smuggling ban niger ending seven year ban migrant trafficking lead death,0,Global Conflicts,-0.9349,Negative
Queen of Denmark announces abdication live on TV,margrethe ii reigned half century step replaced son,Queen of Denmark announces abdication live on TV margrethe ii reigned half century step replaced son,4,Entertainment,0.0,Neutral
"Who is Frederik, the next king of Denmark?",want lock fortress want crown prince frederik said,"Who is Frederik, the next king of Denmark? want lock fortress want crown prince frederik said",4,Entertainment,0.1531,Positive
In pictures: Danish queen's 52-year reign,year old margrethe ii europe longest serving living monarch taken throne,In pictures: Danish queen's 52-year reign year old margrethe ii europe longest serving living monarch taken throne,4,Entertainment,0.0,Neutral
How has Vladimir Putin changed life in Russia?,steve rosenberg talk world rise power country changed rule,How has Vladimir Putin changed life in Russia? steve rosenberg talk world rise power country changed rule,4,Entertainment,0.0,Neutral
Zelensky vows more Ukraine-made weapons in new year address,ukrainian president message come five people killed attack early new year day,Zelensky vows more Ukraine-made weapons in new year address ukrainian president message come five people killed attack early new year day,0,Global Conflicts,-0.8952,Negative
Russia hits back after Ukraine attack on border city,latest attack kyiv kharkiv come two day major aerial assault side,Russia hits back after Ukraine attack on border city latest attack kyiv kharkiv come two day major aerial assault side,0,Global Conflicts,-0.875,Negative
